"a cappella"
"Accordéon"
"Accords"
"Arpeggione"
"Balalaika"
"Bandonéon"
"Kaiser-Bariton"
"Elektroba "
"B.C."
"Becken"
"Cymbales suspendues"
"FlBec alto"
"Big Band"
"Banjo"
"Tenor-Banjo"
"Cuivres"
"Bläser-Ensemble"
"Blasorchester"
"Bläser-Quintett"
"Bongo"
"Bodhran"
"Bordun"
"Bouzouki"
"Bumbass"
"Busine"
"Celesta"
"Clavecin"
"Ligne Mélodique"
"Clavicord"
"Combo"
"Congas"
"Corno da caccia"
"Cornamuse"
"Contra-Tenor"
"Cuica"
"Cymbeln"
"Finger-Cymbeln"
"Darabuka"
"Didgeridoo"
"Dulcian"
"Dudelsack"
"Böhmischer Dudelsack"
"Bretonischer Dudelsack"
"Italienischer Dudelsack"
"Schottischer Dudelsack"
"Sopran-Dulcian"
"Tenor-Dulcian"
"Elektronik"
"Elektronium"
"Cor anglais"
"Ensemble Cordes"
"Fanfare"
"Fanfare in es"
"Kontrafagott"
"Sopranfanfare in b"
"Ventilfanfare"
"Choeur de Femmes"
"Fidel"
"Kontrabass-Fidel"
"Sopran-Fidel"
"Tenor-Fidel"
"Flûte Traversière"
"Großbass-Querflöte"
"Flûte Piccolo"
"Kleine Flöte"
"Kleine Konzertflöte"
"Frauenstimme(n)"
"Gemshorn"
"Kontrabass-Gemshorn in c"
"Sopran-Gemshorn"
"Sopranino-Gemshorn"
"Tenor-Gemshorn"
"Choeur mixte à cappella"
"Choeur mixte 3 voix"
"Basse de Viole"
"Images"
"Glocken"
"Glachter (hölzernes)"
"Holzglocken"
"Glockenkranz"
"Orchester-Glocken"
"Orchester-Glockenspiel"
"Sopran-Glockenspiel"
"Tenor-Glockenspiel"
"Gleiche Stimmen"
"Glockenturm"
"Gemeinde"
"Gong"
"Großes Orchester"
"Guiro"
"Hackbrett"
"Steirisches Hackbrett"
"Ungarisches Hackbrett (Cy"
"Accords Piano"
"Harmonium"
"Helikon"
"Harpe"
"Glasharfe"
"Irische Harfe"
"Volksharfe"
"Tiroler Volksharfe"
"Cor"
"Doppelhorn"
"Diskanthorn"
"Posthorn"
"Signalhorn"
"Tenorhorn"
"Tripelhorn"
"Bois"
"Hohe Stimme"
"Inventionshorn"
"Cor de chasse"
"Choeur de Filles"
"Orchestre Déb."
"Kammerensemble"
"Orchestre de chambre"
"Kantele"
"Kastagnetten"
"Spanische Kastagnetten"
"Stielkastagnetten"
"Kazoo"
"Contrebasse"
"Elektrik-Kontrabass"
"Kena"
"Kinderstimme"
"Piano vocal Guitare"
"Clarinette"
"Piano / Clavecin"
"Piano "
"Pno 4ms"
"Piano 6ms"
"Klavier 8-händig"
"Prepariertes Klavier"
"Klavierquintett"
"Knarre"
"Choeur de garçons"
"Cornet"
"Kornett in c"
"Kornett in es"
"Kornett in f"
"Kortholt"
"Sopran-Kortholt"
"Tenor-Kortholt"
"Koto"
"Krummhorn"
"Großbass-Krummhorn"
"Kontrabass-Krummhorn"
"Sopran-Krummhorn"
"Tenor-Krummhorn"
"Kuckuck"
"Leier"
"Luth"
"Renaissance-Laute"
"Lyra"
"Marschbecken"
"Mandoline"
"Mandolinbanjo"
"Mandoloncello"
"Mandola"
"Mandora"
"Mandriola"
"Marimba"
"Maracas"
"Maultrommel"
"Choeur d'hommes"
"Melodica"
"Metallophon"
"Sopran-Metallophon"
"Tenor-Metallophon"
"Mezzosopran"
"Mezzosopran (Chorstimme)"
"Mezzosopran solo"
"Männerstimme(n)"
"Mittlere Stimme"
"Harmonica "
"Musette"
"Nachtigall"
"Naturhorn"
"Hautbois"
"Oboe in c"
"Hautbois da Caccia"
"Hautbois d'amour "
"Okarina"
"Ophikleide"
"Orchestrion"
"Orchestre"
"ligne"
"Orgue + péd."
"Orgue Electronique"
"OrgueManuel"
"Pandeira"
"Parforcehorn"
"Parforcehorn in b"
"franz-Jagdhorn "
"Parforcehorn in es"
"Peitschenknall"
"Percussion"
"Elektro-Piano"
"Cornet à piston"
"Drehpauke"
"Timbales"
"Maschinenpauke"
"Pedalpauke"
"Pommer"
"Sopran-Pommer"
"Tenor-Pommer"
"Trombone"
"Trombone Basse"
"Diskant-Posaune"
"Sopran-Posaune"
"Trombone Ténor"
"Psalter"
"Raffele"
"Rankett"
"Großbass-Rankett"
"Sopran-Rankett"
"Sopranino-Rankett"
"Tenor-Rankett"
"Rebec"
"Rhythmus-Gruppe"
"Roto-Tom"
"Rumbakugeln"
"Singende Säge"
"Sampler"
"Samba-Pfeife"
"Samba-Ratsche"
"Saxophone"
"Saxophone Alto - Mib"
"Kontrabass-Saxophon"
"Sopranino-Saxophon"
"Saxophone ténor - Sib"
"Saz"
"Batterie"
"Schüttelrohr"
"Schulorchester"
"Sitar"
"Caisse Claire"
"Salonorchester"
"Sousaphon"
"Sprecher"
"Sopran solo (Solostimme)"
"Stimmen"
"Stabspiele"
"Streichpsalter"
"Sopran-Streichpsalter"
"Cds/SET"
"OrchCds"
"Streichquartett"
"Synthesizer"
"Tenor (Chorstimme)"
"Tanpura/Tambura/Tanbura"
"Tabla"
"Tam-Tam"
"Taragotta"
"Wagner-Tuba"
"Tin Whistles"
"Hänge-Tomtom"
"Stand-Tomtom"
"Tonband"
"Tempelblock"
"Tambour"
"Trautonium"
"Grosse caisse"
"Große Konzert-Trommel"
"Handtrommel"
"Triangel"
"Konzert-Trommel"
"Konzert-Bass-Trommel"
"Landsknechts-Trommel"
"Marschtrommel"
"Trompette"
"Piano 6 mains"
"Trompette Ut"
"Trompete in d"
"Trompete in es"
"Trompete in f"
"Trompete in g"
"Heroldstrompete"
"Natur-Trompete"
"Piccolo-Trompete"
"Piccolo-Trompete"
"Signaltrompete"
"Tristan-Trompete"
"Tenor solo (Solostimme)"
"Tiefe Stimme"
"Ukulele"
"Violino piccolo"
"Alto "
"Eletrik-Viola"
"Viola d'amore"
"Viola da braccio (1)"
"Viola pomposa"
"Viola da Gamba"
"Kontrabass-Gambe"
"Sopran-Gambe"
"Tenor-Gambe"
"Formation Musicale"
"Vibraphone"
"Vibra-Slap"
"Vihuela"
"Violetta"
"Wachtel"
"Waldhorn in b"
"Waldhorn"
"Waldhorn in es"
"Woodblock"
"Waldteufel"
"Xylophon"
"Sopran-Xylophon"
"Tenor-Xylophon"
"Zink"
"Ensemble"
"Gerader Zink"
"Stiller Zink"
"Tenor-Zink"
"Zister"
"Cithar"
"2 violons"
"Mantelzither"
"Elegie-Zither"
"Harfenzither"
"Manualzither"
"Scharr-Zither"
"Waldzither"
"4 Clavecins "
"Orgue s. péd."
"Pédagogie"
"Orgue"
"Chant Soprano"
"Chmxt"
"Chant Myns"
"Accords Guitare"
"Piano - main gauche"
"Alto ""Solo"""
"Violoncelle"
"Piano / Clavecin"
"Hautbois ou Saxophone"
"Basson"
"3 Bassons"
"4 Bassons"
"Harmonie"
"Alto 2 "
"Pédagogie Instrumentale"
"Solfège Débutant"
"Instrument Mél. - Mib"
"Piano (4/6 mains)"
"Choeur SATB"
"Guitare basse"
"4 Parties"
"Piano Facile"
"tout instrument"
"Saxophone soprano"
"Alto 1"
"Saxophone soprano"
"Saxophone soprano"
"Alto. Orgue"
"Viola da Gamba 1"
"Viola da Gamba 2"
"Alto 3"
"Papier à Musique"
"vocale"
"Claviers"
"4 Flûtes traversières"
"Harmonie"
"Solo"
"choeurs"
"Clavecin Solo  "
"Soprano"
"concertina"
"Violon"
"Flûte à bec "
"Quatuor de Flûtes"
"Instrument Mél. - Sib"
"Instrument Mél. - Ut"
"Chant Choral"
"Papeterie"
"Guitare"
"Tuba"
"Contrebasse"
"Cor 1"
"Cor 2"
"Instrument Mél.  - Fa"
"2 Instr. Mélodiques"
"Hautbois Solo"
"Voir info"
"Hautbois 1"
"Hautbois 2"
"FlBec / S"
"Instruments à clavier"
"3 Percussions"
"4 Percussions"
